snapshot,Load,Wind,Solar,Thermal,Storage_Discharge,Storage_Charge,Storage_Level,Load_Shedding
2022-01-01 00:00:00,2400.0,2187.999973836791,4.768680041638596,528.0,2113.8155138251964,-2113.8155138251964,-0.0,-0.0
2022-01-01 01:00:00,2400.0,2461.916040060973,3.603002698126907,528.0,1819.586399606566,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 02:00:00,2400.0,2072.170524792519,2.156272714479806,528.0,2241.5845066746365,-2113.8155138251964,5160.263762444901,-0.0
2022-01-01 03:00:00,2400.0,2035.0275932232764,3.4325281459139756,528.0,2280.2756351943867,-2113.8155138251964,-0.0,-0.0
2022-01-01 04:00:00,2400.0,2463.0149098096986,2.5041329494016282,528.0,1819.586399606566,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 05:00:00,2400.0,2191.294279372802,1.4743745056273643,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 06:00:00,2400.0,2191.5960654044234,1.1725884740062187,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 07:00:00,2400.0,2192.4369196146636,0.33173426376619847,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 08:00:00,2400.0,2192.25723022179,0.5114236566395561,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 09:00:00,2400.0,1843.1253472891872,349.6433065892425,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 10:00:00,6880.0,3096.7291106735497,2398.7773724238764,1111.7431280219034,294.22911421863057,0.0,-0.0,-0.0
2022-01-01 11:00:00,6880.0,2608.6253808839456,4064.1432729944836,528.0,2113.8155138251964,-2113.8155138251964,-0.0,-0.0
2022-01-01 12:00:00,6880.0,1275.3600339957793,5397.40861988265,528.0,2113.8155138251964,-2113.8155138251964,-0.0,-0.0
2022-01-01 13:00:00,6880.0,728.9502512599493,6216.568791499151,528.0,1819.586399606566,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 14:00:00,6880.0,360.129122842327,6158.330998526863,528.0,2280.2756351943867,-2113.8155138251964,3960.838778332646,-0.0
2022-01-01 15:00:00,6880.0,813.1401171153038,5741.186680391695,528.0,2241.5845066746365,-2113.8155138251964,-0.0,-0.0
2022-01-01 16:00:00,6880.0,2365.899566764516,4306.869087113913,528.0,2113.8155138251964,-2113.8155138251964,-0.0,-0.0
2022-01-01 17:00:00,2080.0,127.76381308251825,2017.7552296765818,528.0,1819.586399606566,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 18:00:00,2080.0,1718.0722125856241,154.69644129280545,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-01-01 19:00:00,4960.0,3029.1262921365965,35.49326251281819,1895.3804453505854,-0.0,0.0,9121.102540777547,-0.0
2022-01-01 20:00:00,4960.0,3081.1284602419455,8.64121682907646,1870.2303229289782,-0.0,0.0,9121.102540777547,-0.0
2022-01-01 21:00:00,4960.0,2839.3183785520714,8.473045987028135,2112.2085754609006,-0.0,0.0,9121.102540777547,-0.0
2022-01-01 22:00:00,4960.0,2748.31458436771,3.234409071720066,1935.7006176798996,294.22911421863057,0.0,-0.0,-0.0
2022-01-01 23:00:00,1760.0,1821.6280762903425,3.890966468757565,528.0,1819.586399606566,-2113.8155138251964,9121.102540777547,-0.0
2022-02-01 00:00:00,2800.0,2433.114197380482,5.345923988708256,528.0,2280.2756351943867,-2113.8155138251964,4460.219142440217,-0.0
2022-02-01 01:00:00,2800.0,2441.555745625969,3.5477959295292245,528.0,2273.1090546266328,-2113.8155138251964,-0.0,-0.0
2022-02-01 02:00:00,2800.0,2891.163896346022,3.57840236457898,528.0,1788.0618516545696,-2113.8155138251964,9121.102540777547,-0.0
2022-02-01 03:00:00,2800.0,2442.0403475142584,3.063194041239404,528.0,2273.1090546266328,-2113.8155138251964,4660.88339833733,-0.0
2022-02-01 04:00:00,2800.0,2435.544858430692,2.915262938498324,528.0,2280.2756351943867,-2113.8155138251964,-0.0,-0.0
2022-02-01 05:00:00,2800.0,2743.531940994394,3.5452453932746617,528.0,1947.355392456006,-2113.8155138251964,4660.88339833733,-0.0
2022-02-01 06:00:00,2800.0,2437.1644489520804,1.2956724171101281,528.0,2280.2756351943867,-2113.8155138251964,-0.0,-0.0
2022-02-01 07:00:00,2800.0,2893.989890515625,0.7524081949753598,528.0,1788.0618516545696,-2113.8155138251964,9121.102540777547,-0.0
2022-02-01 08:00:00,2800.0,2588.499056188975,4.269597689454828,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-02-01 09:00:00,2800.0,1894.9572379592018,697.8114159192279,528.0,2113.8155138251964,-2113.8155138251964,9121.102540777547,-0.0
2022-02-01 10:00:00,8000.0,2993.8391066365375,2064.1872485312915,2640.0,325.7536621706267,0.0,-0.0,-0.0
2022-02-01 11:00:00,8000.0,2878.6914486889787,3781.8815963993993,1339.4269549116216,-0.0,0.0,-0.0,-0.0
2022-02-01 12:00:00,8000.0,2812.481545369132,4544.718934118304,642.7995205125644,-0.0,0.0,-0.0,-0.0
2022-02-01 13:00:00,8000.0,2838.3897684073327,4911.713045192385,528.0,1832.6542656762113,-1832.6542656762113,-0.0,-0.0
2022-02-01 14:00:00,8000.0,2910.357054624558,5151.460902546682,528.0,1823.5789406937943,-2113.8155138251964,8126.624047679259,-0.0
2022-02-01 15:00:00,8000.0,3054.2916270590063,4766.360534604356,528.0,2045.080114755089,-2080.5972037943134,9121.102540777547,-0.0
