,wind_p_max_pu,solar_p_max_pu,load_mw,weight
2022-01-01 00:00:00,0.41677419354838713,0.0006677419354838709,2400.0,31
2022-01-01 01:00:00,0.4441935483870968,0.0005045161290322581,2400.0,31
2022-01-01 02:00:00,0.45161290322580644,0.00030193548387096774,2400.0,31
2022-01-01 03:00:00,0.46548387096774196,0.0004806451612903226,2400.0,31
2022-01-01 04:00:00,0.46838709677419355,0.00035064516129032264,2400.0,31
2022-01-01 05:00:00,0.43741935483870964,0.0002064516129032258,2400.0,31
2022-01-01 06:00:00,0.41096774193548385,0.00016419354838709672,2400.0,31
2022-01-01 07:00:00,0.39548387096774196,4.645161290322581e-05,2400.0,31
2022-01-01 08:00:00,0.40612903225806446,7.161290322580648e-05,2400.0,31
2022-01-01 09:00:00,0.42451612903225805,0.048959354838709675,2400.0,31
2022-01-01 10:00:00,0.38419354838709674,0.3358925806451613,6880.0,31
2022-01-01 11:00:00,0.3325806451612903,0.569088064516129,6880.0,31
2022-01-01 12:00:00,0.30870967741935484,0.7557806451612903,6880.0,31
2022-01-01 13:00:00,0.2870967741935484,0.8704848387096774,6880.0,31
2022-01-01 14:00:00,0.3038709677419355,0.86233,6880.0,31
2022-01-01 15:00:00,0.30451612903225805,0.8039187096774194,6880.0,31
2022-01-01 16:00:00,0.3138709677419355,0.603076129032258,6880.0,31
2022-01-01 17:00:00,0.2896774193548387,0.2825393548387097,2080.0,31
2022-01-01 18:00:00,0.30516129032258066,0.021661612903225803,2080.0,31
2022-01-01 19:00:00,0.3758064516129032,0.00497,4960.0,31
2022-01-01 20:00:00,0.38225806451612904,0.0012100000000000004,4960.0,31
2022-01-01 21:00:00,0.35225806451612907,0.0011864516129032256,4960.0,31
2022-01-01 22:00:00,0.34096774193548385,0.0004529032258064516,4960.0,31
2022-01-01 23:00:00,0.35129032258064513,0.0005448387096774193,1760.0,31
2022-02-01 00:00:00,0.3942857142857143,0.0007485714285714286,2800.0,28
2022-02-01 01:00:00,0.4042857142857143,0.0004967857142857143,2800.0,28
2022-02-01 02:00:00,0.37535714285714283,0.0005010714285714285,2800.0,28
2022-02-01 03:00:00,0.4107142857142857,0.0004289285714285714,2800.0,28
2022-02-01 04:00:00,0.4092857142857143,0.00040821428571428573,2800.0,28
